user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel,last_active_date,lifetime_paid_months,engagement_band,tenure_days
U000050,2025-11-16,2,value,mobile,search,2025-12-19,0,low,75
U000051,2025-11-11,1,value,web,organic,2026-01-30,2,low,80
U000052,2025-06-22,2,value,web,organic,2026-01-28,5,medium,222
U000053,2025-08-04,3,value,web,organic,2025-10-04,1,low,179
U000054,2025-08-30,2,value,web,organic,2025-10-30,2,low,153
U000055,2025-09-06,3,value,mobile,referral,2025-11-05,2,low,146
U000056,2025-05-15,3,value,web,search,2026-01-28,8,medium,260
U000057,2025-09-19,2,regular,mobile,organic,2026-01-29,3,high,133
U000058,2025-06-12,2,regular,mobile,referral,2025-12-10,6,high,232
U000059,2025-11-07,1,premium,web,email,2025-12-07,1,low,84
U000060,2025-10-23,3,regular,mobile,referral,2026-01-29,3,medium,99
U000061,2025-12-22,2,regular,web,referral,2026-01-30,1,low,39
U000062,2025-11-07,3,value,mobile,email,2026-01-20,2,low,84
U000063,2025-08-05,2,regular,mobile,paid_social,2026-01-30,5,high,178
U000064,2026-01-02,1,value,web,email,2026-01-20,1,low,28
U000065,2025-08-16,1,regular,mobile,email,2026-01-29,5,high,167
U000066,2025-07-25,2,regular,web,organic,2026-01-29,6,high,189
U000067,2025-12-18,2,regular,web,referral,2026-01-29,0,low,43
U000068,2025-08-05,1,value,mobile,referral,2026-01-30,5,medium,178
U000069,2025-05-24,2,regular,web,paid_social,2025-12-27,6,high,251
U000070,2025-08-30,3,regular,mobile,referral,2025-10-04,1,low,153
U000071,2025-11-20,2,regular,web,search,2025-12-22,1,low,71
U000072,2025-06-21,2,regular,web,search,2026-01-28,7,high,223
U000073,2025-08-29,1,regular,mobile,paid_social,2026-01-30,4,high,154
U000074,2025-06-06,3,value,web,paid_social,2026-01-29,7,medium,238
U000075,2025-10-24,2,regular,mobile,referral,2026-01-30,3,medium,98
U000076,2025-09-01,3,regular,web,referral,2026-01-30,3,high,151
U000077,2025-07-26,2,value,mobile,paid_social,2026-01-08,6,medium,188
U000078,2025-06-30,2,value,mobile,email,2025-10-26,4,medium,214
U000079,2025-09-23,2,premium,web,organic,2026-01-30,4,high,129
U000080,2025-10-20,1,regular,web,email,2026-01-29,3,medium,102
U000081,2025-12-27,3,regular,web,organic,2026-01-30,1,low,34
U000082,2025-08-22,2,regular,mobile,search,2026-01-30,5,high,161
U000083,2025-06-14,2,regular,web,organic,2025-12-07,6,high,230
U000084,2025-11-30,3,regular,web,search,2026-01-03,0,low,61
U000085,2025-10-10,3,value,mobile,search,2026-01-28,3,low,112
U000086,2025-10-27,3,regular,web,organic,2026-01-29,3,medium,95
U000087,2025-05-29,1,regular,web,paid_social,2026-01-28,8,high,246
U000088,2025-07-22,2,value,web,paid_social,2025-10-10,3,low,192
U000089,2025-11-13,3,regular,web,organic,2026-01-29,2,medium,78
U000090,2025-11-29,2,value,mobile,paid_social,2026-01-28,1,low,62
U000091,2025-08-22,1,regular,mobile,organic,2026-01-28,5,high,161
U000092,2025-11-22,3,regular,mobile,organic,2026-01-28,1,medium,69
U000093,2025-12-02,2,regular,mobile,organic,2026-01-26,1,medium,59
U000094,2025-08-10,2,regular,web,paid_social,2026-01-30,4,high,173
U000095,2025-12-16,3,premium,web,paid_social,2026-01-30,1,medium,45
U000096,2025-07-16,2,regular,mobile,paid_social,2026-01-30,6,high,198
U000097,2025-07-04,2,regular,mobile,referral,2026-01-30,6,high,210
U000098,2025-10-23,2,regular,mobile,paid_social,2026-01-19,3,medium,99
U000099,2025-10-11,2,value,web,referral,2026-01-28,3,low,111
U000100,2025-06-09,1,value,mobile,email,2026-01-26,7,medium,235
U000101,2025-11-30,3,regular,mobile,search,2026-01-30,1,medium,61
U000102,2025-06-24,3,value,mobile,organic,2025-12-12,5,medium,220
U000103,2025-11-23,2,value,mobile,organic,2025-12-23,1,low,68
U000104,2025-05-06,2,regular,web,paid_social,2026-01-27,6,high,269
U000105,2025-11-21,3,regular,web,search,2026-01-30,2,medium,70
U000106,2025-11-18,1,value,web,organic,2026-01-17,2,low,73
U000107,2025-11-16,2,regular,web,referral,2025-12-19,1,low,75
U000108,2025-10-18,2,regular,mobile,email,2025-11-17,1,low,104
U000109,2025-08-31,2,regular,web,organic,2026-01-29,5,high,152
U000110,2025-10-28,1,value,web,organic,2025-11-23,1,low,94
U000111,2025-07-13,2,regular,web,organic,2026-01-30,5,high,201
U000112,2025-11-16,2,value,mobile,search,2026-01-30,2,low,75
U000113,2025-09-21,2,regular,web,referral,2026-01-20,4,medium,131
U000114,2025-08-28,1,value,web,paid_social,2026-01-30,5,medium,155
U000115,2025-09-08,2,premium,mobile,organic,2025-10-08,1,low,144
U000116,2025-09-24,2,value,web,search,2026-01-30,4,medium,128
U000117,2025-05-14,1,regular,web,organic,2026-01-30,7,high,261
U000118,2025-06-09,1,value,web,search,2026-01-26,7,medium,235
U000119,2025-07-05,1,regular,mobile,search,2025-10-03,3,medium,209
U000120,2025-06-02,2,regular,mobile,paid_social,2026-01-30,7,high,242
U000121,2025-08-23,1,value,mobile,search,2026-01-29,5,medium,160
U000122,2025-10-19,3,value,web,referral,2026-01-29,3,low,103
U000123,2025-10-16,2,value,mobile,organic,2026-01-30,3,low,106
U000124,2025-08-31,3,value,mobile,paid_social,2026-01-30,4,medium,152
U000125,2025-12-05,3,premium,web,organic,2026-01-29,1,medium,56
U000126,2025-09-23,1,regular,nan,organic,2026-01-30,4,medium,129
U000127,2025-05-24,2,value,web,referral,2026-01-28,8,medium,251
U000128,2025-11-13,3,premium,mobile,paid_social,2026-01-27,2,medium,78
U000129,2025-09-26,2,value,web,organic,2026-01-16,4,low,126
U000130,2025-10-11,2,regular,web,search,2025-11-09,1,low,111
U000131,2025-09-23,2,regular,mobile,paid_social,2026-01-29,4,high,129
U000132,2025-09-20,1,premium,mobile,email,2026-01-30,4,high,132
U000133,2025-05-27,2,regular,mobile,paid_social,2026-01-29,8,high,248
U000134,2025-09-22,3,regular,mobile,organic,2025-10-29,1,low,130
U000135,2025-11-20,3,premium,web,search,2026-01-30,2,medium,71
U000136,2025-07-20,1,value,mobile,organic,2025-09-18,1,low,194
U000137,2025-10-03,2,premium,nan,organic,2026-01-29,3,high,119
U000138,2025-05-12,2,regular,web,paid_social,2026-01-28,8,high,263
U000139,2025-07-31,3,premium,mobile,paid_social,2026-01-29,5,high,183
U000140,2025-08-22,1,value,web,organic,2026-01-26,5,medium,161
U000141,2026-01-06,3,value,web,referral,2026-01-28,1,low,24
U000142,2025-06-27,3,regular,mobile,paid_social,2026-01-29,6,high,217
U000143,2025-07-13,1,regular,web,paid_social,2026-01-30,6,high,201
U000144,2025-08-15,1,regular,web,organic,2026-01-30,5,high,168
U000145,2026-01-09,3,premium,mobile,search,2026-01-29,1,low,21
U000146,2025-12-05,1,regular,mobile,organic,2026-01-06,1,low,56
U000147,2025-05-13,2,value,mobile,organic,2025-12-13,7,medium,262
U000148,2025-07-02,3,regular,web,organic,2025-11-29,4,high,212
U000149,2025-11-27,2,value,mobile,organic,2026-01-20,1,low,64
U000150,2025-05-19,2,value,mobile,organic,2026-01-28,7,medium,256
U000151,2025-12-05,2,value,web,organic,2026-01-29,1,low,56
U000152,2025-07-14,1,regular,web,email,2026-01-30,5,high,200
U000153,2025-12-21,3,regular,web,referral,2026-01-30,1,low,40
U000154,2025-07-17,2,regular,web,search,2025-09-18,2,medium,197
U000155,2025-08-22,1,value,web,email,2025-12-25,3,medium,161
U000156,2025-10-18,2,regular,mobile,organic,2026-01-28,2,medium,104
U000157,2025-06-05,3,regular,mobile,search,2026-01-29,7,high,239
U000158,2025-09-21,1,premium,web,referral,2026-01-29,4,high,131
U000159,2025-09-08,3,regular,mobile,search,2025-10-11,1,low,144
U000160,2025-11-17,2,regular,web,organic,2026-01-15,2,low,74
U000161,2026-01-10,3,regular,web,search,2026-01-29,1,low,20
U000162,2025-10-18,3,regular,mobile,search,2025-11-13,1,low,104
U000163,2025-08-15,3,premium,web,paid_social,2026-01-30,4,high,168
U000164,2025-08-15,3,regular,mobile,search,2026-01-30,3,high,168
U000165,2025-08-17,1,regular,web,search,2026-01-29,5,high,166
U000166,2025-11-25,3,value,web,organic,2026-01-11,1,low,66
U000167,2025-07-24,2,regular,web,search,2026-01-29,6,high,190
U000168,2025-06-15,2,regular,web,organic,2025-07-16,0,low,229
U000169,2025-07-27,3,regular,mobile,referral,2026-01-29,5,high,187
U000170,2025-05-10,3,regular,mobile,paid_social,2026-01-27,8,high,265
U000171,2025-05-31,2,value,web,search,2026-01-30,8,medium,244
U000172,2025-05-27,2,premium,web,paid_social,2026-01-30,8,high,248
U000173,2025-11-14,2,value,mobile,organic,2026-01-25,2,low,77
U000174,2025-11-02,2,premium,mobile,search,2026-01-30,2,medium,89
U000175,2025-10-26,2,value,web,search,2026-01-26,3,low,96
U000176,2025-08-28,2,regular,web,search,2026-01-30,5,high,155
U000177,2025-10-31,1,regular,web,paid_social,2026-01-30,2,medium,91
U000178,2025-06-14,1,regular,web,email,2026-01-30,7,high,230
U000179,2025-12-17,3,value,web,search,2026-01-30,1,low,44
U000180,2025-09-07,2,premium,web,search,2026-01-30,4,high,145
U000181,2025-12-26,3,regular,web,paid_social,2026-01-30,1,low,35
U000182,2025-06-12,2,regular,web,organic,2026-01-07,7,high,232
U000183,2025-09-06,1,regular,web,organic,2026-01-27,2,high,146
U000184,2025-10-26,1,value,mobile,email,2026-01-30,3,low,96
U000185,2025-09-06,1,regular,mobile,referral,2026-01-30,4,high,146
U000186,2025-08-24,3,value,web,email,2026-01-28,5,medium,159
U000187,2025-06-15,1,value,web,organic,2026-01-28,7,medium,229
U000188,2025-08-08,2,regular,web,organic,2025-10-07,2,medium,175
U000189,2025-07-03,3,regular,mobile,search,2026-01-30,7,high,211
U000190,2025-07-19,3,value,mobile,email,2025-12-11,5,medium,195
U000191,2025-10-23,1,value,web,organic,2026-01-30,3,low,99
U000192,2025-10-10,1,value,mobile,organic,2026-01-30,3,medium,112
U000193,2025-10-04,1,value,mobile,organic,2026-01-29,2,medium,118
U000194,2025-08-03,1,regular,mobile,paid_social,2026-01-25,5,high,180
U000195,2025-12-31,1,value,web,referral,2026-01-24,1,low,30
U000196,2025-05-27,2,premium,web,paid_social,2026-01-28,8,high,248
U000197,2025-07-29,3,value,mobile,organic,2026-01-30,6,medium,185
U000198,2025-06-03,2,value,web,paid_social,2026-01-30,8,medium,241
U000199,2025-07-29,2,premium,mobile,search,2026-01-30,6,high,185
U000200,2026-01-01,1,value,mobile,organic,2026-01-25,1,low,29
U000201,2025-08-04,3,regular,web,organic,2026-01-30,5,high,179
U000202,2025-12-19,2,premium,web,search,2026-01-29,1,medium,42
U000203,2025-09-06,3,premium,web,organic,2026-01-30,4,high,146
U000204,2025-10-27,3,regular,web,email,2025-12-30,2,medium,95
U000205,2025-08-27,2,value,mobile,search,2026-01-25,4,medium,156
U000206,2025-07-10,1,regular,mobile,search,2026-01-29,6,high,204
U000207,2025-11-12,1,premium,web,paid_social,2026-01-30,2,high,79
U000208,2026-01-03,2,premium,mobile,paid_social,2026-01-30,1,medium,27
U000209,2025-07-10,3,value,web,organic,2026-01-28,6,medium,204
U000210,2025-11-16,2,regular,mobile,paid_social,2026-01-30,2,medium,75
U000211,2025-07-09,3,value,web,organic,2026-01-25,6,medium,205
U000212,2025-10-31,2,value,mobile,search,2026-01-28,2,low,91
U000213,2025-11-19,1,regular,mobile,paid_social,2026-01-30,2,medium,72
U000214,2025-08-25,2,value,web,search,2026-01-25,5,medium,158
U000215,2025-11-05,2,value,mobile,search,2026-01-30,2,low,86
U000216,2025-07-12,2,value,mobile,organic,2026-01-28,6,medium,202
U000217,2025-05-24,2,regular,web,search,2026-01-30,8,high,251
U000218,2025-05-29,1,value,mobile,organic,2026-01-30,8,high,246
U000219,2025-08-25,2,regular,mobile,email,2026-01-30,4,high,158
U000220,2025-12-17,1,value,mobile,search,2026-01-28,1,low,44
U000221,2025-06-06,3,premium,web,referral,2025-08-08,2,medium,238
U000222,2025-08-27,1,value,nan,search,2026-01-30,5,medium,156
U000223,2025-10-28,1,regular,mobile,referral,2026-01-30,2,medium,94
U000224,2025-06-24,2,value,mobile,organic,2026-01-27,6,medium,220
U000225,2025-11-02,2,value,web,organic,2026-01-30,2,low,89
U000226,2025-07-20,2,value,web,organic,2026-01-26,6,medium,194
U000227,2025-11-23,2,value,mobile,organic,2025-12-16,0,low,68
U000228,2025-09-27,3,value,web,email,2025-11-25,1,low,125
U000229,2025-09-19,2,regular,web,paid_social,2026-01-30,4,high,133
U000230,2025-06-18,2,regular,web,paid_social,2025-11-17,4,high,226
U000231,2025-08-29,2,value,mobile,search,2025-09-29,1,low,154
U000232,2025-12-06,1,regular,web,search,2026-01-28,0,medium,55
U000233,2025-05-09,2,regular,mobile,paid_social,2025-09-10,4,low,266
U000234,2025-11-11,1,value,mobile,referral,2026-01-05,2,low,80
U000235,2025-09-05,2,value,mobile,paid_social,2026-01-30,3,medium,147
U000236,2025-11-01,1,value,mobile,paid_social,2025-12-02,1,low,90
U000237,2025-10-18,3,value,web,organic,2026-01-25,3,medium,104
U000238,2025-08-21,2,regular,mobile,email,2026-01-29,5,high,162
U000239,2025-07-21,3,premium,web,organic,2026-01-18,5,high,193
U000240,2025-10-09,2,premium,mobile,search,2026-01-30,3,high,113
U000241,2025-06-09,1,premium,web,referral,2026-01-05,6,high,235
U000242,2025-09-28,3,regular,mobile,organic,2025-11-29,1,medium,124
U000243,2025-05-28,2,value,mobile,organic,2025-10-28,5,low,247
U000244,2025-10-15,3,value,web,search,2025-12-17,2,low,107
U000245,2025-10-09,2,value,mobile,search,2026-01-27,3,low,113
U000246,2025-05-26,2,value,web,email,2025-09-25,3,low,249
U000247,2025-11-11,3,value,web,referral,2026-01-11,1,low,80
U000248,2025-08-17,2,regular,web,search,2026-01-30,5,high,166
U000249,2025-11-18,2,value,web,email,2026-01-29,2,low,73
U000250,2025-05-15,2,value,mobile,paid_social,,0,low,260
U000251,2025-06-19,2,regular,mobile,referral,2026-01-30,7,high,225
U000252,2025-09-05,3,value,web,organic,2026-01-26,4,medium,147
U000253,2025-06-21,2,premium,mobile,search,2026-01-28,7,high,223
U000254,2025-07-26,2,value,mobile,organic,2026-01-29,6,medium,188
U000255,2025-10-17,3,regular,mobile,organic,2026-01-30,3,medium,105
U000256,2025-06-10,2,value,web,paid_social,2025-07-11,0,low,234
U000257,2025-10-22,2,regular,mobile,organic,2026-01-30,3,medium,100
U000258,2025-05-30,2,value,web,search,2026-01-29,8,medium,245
U000259,2025-06-17,1,value,mobile,paid_social,2026-01-30,6,medium,227
U000260,2025-09-29,2,regular,mobile,organic,2026-01-30,3,high,123
U000261,2025-11-20,1,value,mobile,search,2026-01-26,2,low,71
U000262,2025-06-16,1,value,web,paid_social,2026-01-29,6,medium,228
U000263,2025-07-19,2,premium,web,referral,2026-01-30,6,high,195
U000264,2025-12-23,2,value,mobile,organic,2026-01-16,1,low,38
U000265,2026-01-08,3,regular,web,email,2026-01-29,1,low,22
U000266,2025-09-27,2,regular,web,referral,2025-12-29,3,medium,125
U000267,2025-08-25,1,value,mobile,paid_social,2026-01-30,5,medium,158
U000268,2025-07-31,3,regular,mobile,search,2026-01-30,5,high,183
U000269,2025-10-05,1,value,web,paid_social,2026-01-30,3,low,117
U000270,2025-09-30,1,regular,web,referral,2026-01-26,4,medium,122
U000271,2025-07-17,2,value,mobile,organic,2026-01-26,5,medium,197
U000272,2025-05-10,2,value,web,email,2025-08-07,3,low,265
U000273,2025-06-12,3,value,web,email,2026-01-30,7,medium,232
U000274,2025-12-31,3,premium,web,search,2026-01-30,1,medium,30
U000275,2025-08-17,2,regular,web,paid_social,2026-01-29,5,high,166
U000276,2025-09-03,1,premium,mobile,search,2026-01-30,4,high,149
U000277,2025-08-30,2,regular,web,paid_social,2025-11-24,2,medium,153
U000278,2025-11-17,2,regular,web,referral,2026-01-28,2,medium,74
U000279,2025-05-21,1,regular,web,organic,2025-11-17,6,medium,254
U000280,2025-05-25,2,premium,web,organic,2026-01-27,7,high,250
U000281,2025-07-13,2,regular,web,organic,2026-01-28,6,high,201
U000282,2025-09-04,1,value,mobile,email,2026-01-25,4,medium,148
U000283,2025-10-20,2,regular,mobile,search,2026-01-29,2,medium,102
U000284,2025-09-05,2,regular,web,referral,2026-01-07,4,high,147
U000285,2025-08-23,1,value,web,search,2026-01-22,5,medium,160
U000286,2025-12-26,2,regular,web,organic,2026-01-26,0,low,35
U000287,2025-06-14,3,value,web,email,2026-01-29,7,medium,230
U000288,2025-09-25,2,regular,mobile,search,2026-01-30,4,high,127
U000289,2025-09-18,3,value,web,search,2025-10-17,1,low,134
U000290,2025-08-31,2,regular,mobile,organic,2026-01-29,4,high,152
U000291,2025-11-23,3,regular,mobile,organic,2025-12-21,0,low,68
U000292,2025-07-11,1,regular,web,organic,2026-01-30,6,high,203
U000293,2025-12-30,2,value,mobile,search,2026-01-21,1,low,31
U000294,2025-07-27,1,premium,web,paid_social,2026-01-28,6,high,187
U000295,2025-09-18,2,regular,web,organic,2026-01-29,4,medium,134
U000296,2025-09-12,2,value,mobile,organic,2026-01-28,4,medium,140
U000297,2025-12-04,1,value,web,organic,2026-01-28,1,low,57
U000298,2025-08-23,3,value,mobile,search,2025-10-28,2,low,160
U000299,2025-07-15,2,value,mobile,email,2026-01-30,6,medium,199
U000300,2025-05-10,2,regular,web,search,2026-01-29,8,high,265
U000301,2025-08-04,1,premium,mobile,organic,2026-01-28,5,high,179
U000302,2025-11-28,2,regular,web,paid_social,2026-01-30,1,low,63
U000303,2025-05-07,2,regular,mobile,email,2026-01-28,8,high,268
U000304,2025-12-15,2,regular,web,referral,2026-01-30,1,low,46
U000305,2025-09-18,1,regular,web,referral,2026-01-27,4,high,134
U000306,2025-06-09,3,regular,web,email,2026-01-29,6,high,235
U000307,2025-07-19,3,value,mobile,paid_social,2026-01-21,6,medium,195
U000308,2025-09-21,2,premium,web,email,2026-01-29,4,high,131
U000309,2025-07-23,2,regular,mobile,organic,2025-12-22,5,high,191
U000310,2025-06-01,3,regular,web,referral,2026-01-30,6,high,243
U000311,2025-10-19,3,premium,web,referral,2026-01-30,3,high,103
U000312,2025-10-20,2,regular,web,email,2025-11-13,1,low,102
U000313,2025-06-03,3,value,web,search,2026-01-29,7,medium,241
U000314,2025-07-14,3,regular,mobile,referral,2026-01-13,6,high,200
U000315,2025-07-05,3,value,web,organic,2026-01-30,6,medium,209
U000316,2025-10-17,2,regular,mobile,paid_social,2026-01-27,3,medium,105
U000317,2025-11-04,1,value,mobile,search,2025-12-11,0,low,87
U000318,2025-11-03,1,regular,web,paid_social,2026-01-30,2,medium,88
U000319,2025-12-26,2,premium,mobile,paid_social,2026-01-30,1,low,35
U000320,2025-11-13,2,value,mobile,search,2026-01-10,1,low,78
U000321,2025-07-24,2,regular,mobile,organic,2025-10-13,2,medium,190
U000322,2025-06-01,2,regular,web,organic,2026-01-30,7,high,243
U000323,2025-10-06,2,regular,mobile,paid_social,2026-01-29,3,medium,116
U000324,2025-12-20,3,value,mobile,paid_social,2026-01-22,0,low,41
U000325,2026-01-04,1,value,web,paid_social,2026-01-26,1,low,26
U000326,2025-07-01,1,regular,mobile,organic,2026-01-01,6,high,213
U000327,2025-07-03,3,regular,web,referral,2026-01-27,7,high,211
U000328,2025-05-14,3,regular,mobile,paid_social,2026-01-30,8,high,261
U000329,2025-06-09,3,value,mobile,organic,2025-12-30,5,medium,235
U000330,2025-09-21,3,regular,mobile,organic,2026-01-28,3,high,131
U000331,2025-09-19,3,value,mobile,search,2026-01-30,4,medium,133
U000332,2025-08-06,2,value,mobile,search,2025-10-05,1,low,177
U000333,2025-07-21,2,regular,mobile,organic,2026-01-28,5,high,193
U000334,2025-11-29,2,value,web,organic,2026-01-27,1,low,62
U000335,2025-08-28,2,regular,web,organic,2025-10-29,2,medium,155
U000336,2025-11-23,3,premium,web,organic,2026-01-29,1,medium,68
U000337,2026-01-01,2,regular,web,organic,2026-01-30,1,low,29
U000338,2025-07-23,2,regular,mobile,referral,2026-01-27,6,high,191
U000339,2025-06-24,2,value,mobile,search,2026-01-30,7,medium,220
U000340,2025-12-30,1,value,web,search,2026-01-30,1,low,31
U000341,2025-10-11,1,value,web,paid_social,2026-01-30,3,medium,111
U000342,2025-07-17,1,regular,mobile,search,2026-01-28,6,high,197
U000343,2025-10-08,3,regular,web,organic,2026-01-30,3,high,114
U000344,2025-09-11,2,value,mobile,organic,2026-01-27,3,medium,141
U000345,2025-12-18,3,value,mobile,organic,2026-01-09,1,low,43
U000346,2025-07-08,2,value,web,paid_social,2026-01-30,6,medium,206
U000347,2026-01-08,1,regular,web,search,2026-01-28,1,low,22
U000348,2025-12-25,1,regular,web,search,2026-01-23,1,low,36
U000349,2025-06-19,3,regular,web,search,2026-01-28,7,high,225
U000350,2025-06-15,2,premium,web,email,2026-01-30,7,high,229
U000351,2025-09-15,3,value,web,organic,2026-01-29,4,medium,137
U000352,2025-05-16,1,regular,web,search,2025-09-16,4,medium,259
U000353,2025-07-18,2,regular,web,search,2026-01-29,6,high,196
U000354,2025-08-22,3,value,web,paid_social,2026-01-29,5,medium,161
U000355,2026-01-03,1,premium,mobile,paid_social,2026-01-30,1,medium,27
U000356,2026-01-09,2,value,web,paid_social,2026-01-29,1,low,21
U000357,2025-06-12,3,regular,mobile,organic,2025-09-11,3,medium,232
U000358,2025-12-14,2,regular,web,search,2026-01-29,1,low,47
U000359,2025-05-27,2,premium,web,referral,2026-01-30,8,high,248
U000360,2025-11-08,2,regular,web,search,2026-01-30,2,medium,83
U000361,2025-12-03,2,value,mobile,email,2025-12-30,1,low,58
U000362,2025-12-14,3,regular,web,search,2026-01-13,0,low,47
U000363,2025-06-30,3,regular,web,search,2026-01-22,7,high,214
U000364,2025-12-15,2,regular,web,search,2026-01-29,0,low,46
U000365,2025-06-03,3,regular,mobile,search,2026-01-29,7,high,241
U000366,2025-09-12,1,value,web,referral,2026-01-30,4,low,140
U000367,2025-08-30,1,regular,web,organic,2026-01-29,4,high,153
U000368,2025-07-23,2,premium,mobile,search,2026-01-30,6,high,191
U000369,2025-05-10,3,value,web,paid_social,2026-01-30,8,medium,265
U000370,2025-11-14,1,regular,web,referral,2026-01-28,2,medium,77
U000371,2025-07-28,1,premium,mobile,paid_social,2026-01-29,6,high,186
U000372,2025-10-18,2,regular,web,email,2026-01-30,3,medium,104
U000373,2025-08-15,3,premium,web,referral,2026-01-30,5,high,168
U000374,2025-08-06,1,regular,web,search,2026-01-09,5,high,177
U000375,2025-12-13,2,premium,web,referral,2026-01-30,1,medium,48
U000376,2025-05-28,2,value,mobile,email,2026-01-30,8,medium,247
U000377,2025-11-05,2,regular,mobile,organic,2026-01-08,2,medium,86
U000378,2025-11-08,1,regular,mobile,paid_social,2026-01-30,2,medium,83
U000379,2025-08-08,1,regular,web,organic,2026-01-27,5,high,175
U000380,2025-07-09,2,premium,mobile,paid_social,2026-01-28,4,high,205
U000381,2025-05-06,2,regular,mobile,organic,2026-01-26,8,high,269
U000382,2025-12-26,3,regular,web,paid_social,2026-01-26,1,low,35
U000383,2025-12-28,2,regular,mobile,search,2026-01-28,1,low,33
U000384,2025-07-04,2,regular,mobile,paid_social,2025-12-07,5,high,210
U000385,2025-05-13,3,regular,mobile,organic,2026-01-30,7,high,262
U000386,2025-06-04,2,value,web,paid_social,2025-07-10,1,low,240
U000387,2025-05-21,2,regular,web,search,2026-01-30,8,high,254
U000388,2025-11-29,3,premium,mobile,paid_social,2026-01-30,1,high,62
U000389,2025-12-14,1,regular,mobile,organic,2026-01-28,1,low,47
U000390,2025-06-12,2,regular,web,organic,2026-01-30,7,high,232
U000391,2025-11-08,3,regular,web,search,2026-01-30,2,medium,83
U000392,2025-06-18,1,regular,mobile,email,2026-01-30,6,high,226
U000393,2025-08-05,2,value,web,organic,2025-09-09,0,low,178
U000394,2025-10-02,1,regular,web,paid_social,2025-11-03,1,low,120
U000395,2025-11-01,1,regular,mobile,organic,2025-12-31,2,low,90
U000396,2025-12-10,2,value,web,paid_social,2026-01-30,0,low,51
U000397,2025-05-16,2,value,web,organic,2026-01-28,8,medium,259
